"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/08/2018","MTA","MTA VENDING MACHINES NEW YORK NY","121.00","debit","Public Transportation","Citi Double Cash Card","",""
"1/09/2018","Amazon Prime Now","Amazon Prime Now Tips","6.00","debit","Groceries","CHASE AMAZON PRIME","",""
"1/08/2018","Yahoo","YAHOO SMALL BUSINESS 8664381582 CA","44.91","debit","Internet","Citi Double Cash Card","",""
"1/08/2018","Amazon Prime Now","Amazon Prime Now","61.59","debit","Groceries","CHASE AMAZON PRIME","",""
"1/07/2018","Amazon Video","Amazon Video On Demand","2.99","debit","Movies & DVDs","CHASE AMAZON PRIME","",""
"1/07/2018","GrubHub Seamless","SEAMLSSQUEENOFFALAFEL 8002561020 NY","13.78","debit","Food & Dining","Citi Double Cash Card","",""
"1/05/2018","Optimum Ny","OPTIMUM 7836 02038702583 NY","55.38","debit","Internet","Citi Double Cash Card","",""
"1/05/2018","Tony's Pizzeria","TONY`S PIZZERIA & R BROOKLYN NY","6.53","debit","Fast Food","Citi Double Cash Card","",""
"1/05/2018","Cafe","CAFE 11 NEW YORK NY","2.75","debit","Restaurants","Citi Double Cash Card","",""
"1/04/2018","Cafe","CAFE 11 NEW YORK NY","2.75","debit","Restaurants","Citi Double Cash Card","",""
"1/03/2018","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"1/03/2018","Quickpay With Zelle","QuickPay with Zelle payment fromBENJAMIN SIY-HIAN 6784681603","1100.00","credit","Credit Card Payment","TOTAL CHECKING","",""
"1/03/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","2.17","debit","Music","Citi Double Cash Card","",""
"1/02/2018","Amazon Prime Now","Amazon Prime Now","44.84","debit","Groceries","CHASE AMAZON PRIME","",""
"1/02/2018","Venmo","VENMO            PAYMENT    833321022       WEB ID: 3264681992","2100.00","debit","Transfer","TOTAL CHECKING","",""
"1/02/2018","Netflix","NETFLIX.COM NETFLIX.COM CA","10.99","debit","Movies & DVDs","Citi Double Cash Card","",""
"1/02/2018","GrubHub Seamless","SEAMLSSJRSDINER 8002561020 NY","15.34","debit","Food & Dining","Citi Double Cash Card","",""
"1/01/2018","Uber.com","UBER TRIP 7PJQF 8005928996 CA","23.22","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"12/31/2017","Bushwick","BUSHWICK GOURMET DELI BROOKLYN NY","2.50","debit","Health & Fitness","Citi Double Cash Card","",""
"12/31/2017","Mr Lemon","MR LEMON BROOKLYN NY","15.96","debit","Groceries","Citi Double Cash Card","",""
"12/31/2017","Uber.com","UBER TRIP INZCV 8005928996 CA","16.50","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"12/30/2017","Nyctaxi D","NYCTAXI7D79 ASTORIA NY","29.75","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"12/28/2017","Vanguard High Dividend Yield Etf","VANGUARD HIGH DIVIDEND YIELD ETF","20.70","debit","Investments","Individual","",""
"12/28/2017","Vanguard Growth Etf","VANGUARD GROWTH ETF","9.80","debit","Investments","Individual","",""
"12/28/2017","Vanguard Ftse Emerging Markets Etf","VANGUARD FTSE EMERGING MARKETS ETF","11.30","debit","Investments","Individual","",""
"12/28/2017","Vanguard Small Cap Etf","VANGUARD SMALL CAP ETF","9.67","debit","Investments","Individual","",""
"12/28/2017","Ishares Iboxx High Yieldbond Etf","ISHARES IBOXX HIGH YIELDBOND ETF","4.69","credit","Dividend & Cap Gains","Individual","",""
"12/27/2017","Vanguard Growth Etf","VANGUARD GROWTH ETF","9.80","credit","Dividend & Cap Gains","Individual","",""
"12/27/2017","Vanguard Small Cap Etf","VANGUARD SMALL CAP ETF","9.67","credit","Dividend & Cap Gains","Individual","",""
"12/27/2017","Vanguard Ftse Emerging Markets Etf","VANGUARD FTSE EMERGING MARKETS ETF","11.30","credit","Dividend & Cap Gains","Individual","",""
"12/27/2017","Vanguard High Dividend Yield Etf","VANGUARD HIGH DIVIDEND YIELD ETF","20.70","credit","Dividend & Cap Gains","Individual","",""
"12/26/2017","Check","CHECK 190","75.00","debit","Check","TOTAL CHECKING","",""
"12/25/2017","Auntie Anne's","AUNTIE ANNE'S LGA FLUSHING NY","9.33","debit","Restaurants","Citi Double Cash Card","",""
"12/25/2017","Uber.com","UBER TRIP LANCF 8005928996 CA","17.13","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"12/24/2017","Uber.com","UBER TRIP ZIHN2 8005928996 CA","9.21","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"12/24/2017","GrubHub Seamless","SEAMLSSINCACHICKEN 8002561020 NY","14.71","debit","Food & Dining","Citi Double Cash Card","",""
"12/24/2017","Uber.com","UBER TRIP BKBTS 8005928996 CA","12.58","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"12/24/2017","Uber.com","UBER TRIP NRXHN 8005928996 CA","14.99","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"12/24/2017","Ops Hrcls Lndy","OPS*HRCLS LNDY 8005265 800-555-1212 NY","25.00","debit","Laundry","Citi Double Cash Card","",""
"12/23/2017","Google Storage","GOOGLE *Google Store g.co/helppay# CA","31.57","debit","Internet","Citi Double Cash Card","",""
"12/21/2017","Amazon","Amazon.com","68.57","debit","Shopping","CHASE AMAZON PRIME","",""
"12/21/2017","GrubHub Seamless","SEAMLSSMITLAXCALITAME 8002561020 NY","12.83","debit","Food & Dining","Citi Double Cash Card","",""
"12/20/2017","ATM Withdrawal","ATM WITHDRAWAL005419  12/2042 BROADW","40.00","debit","Cash & ATM","TOTAL CHECKING","",""
"12/20/2017","Playstation Network","PLAYSTATION NETWORK 800-345-7669 CA","5.99","debit","Entertainment","Citi Double Cash Card","",""
"12/19/2017","Subway","SUBWAY 03301082 NEW YORK NY","7.35","debit","Fast Food","Citi Double Cash Card","",""
"12/19/2017","Citi Autopay Ppd","CITI AUTOPAY     PAYMENTPPD ID: CITICARDAP","395.66","debit","Credit Card Payment","TOTAL CHECKING","",""
"12/19/2017","Etsy.com","Etsy.com - michaelelli Brooklyn NY","79.95","debit","Shopping","Citi Double Cash Card","",""
"12/19/2017","Playstation Network","PLAYSTATION NETWORK 800-345-7669 CA","14.99","debit","Entertainment","Citi Double Cash Card","",""
"12/18/2017","Transfer to CHASE AMAZON PRIME","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","207.97","debit","Credit Card Payment","TOTAL CHECKING","",""
"12/18/2017","GrubHub Seamless","SEAMLSSTAJINRESTAURAN 8002561020 NY","18.72","debit","Food & Dining","Citi Double Cash Card","",""
"12/17/2017","Transfer from TOTAL CHECKING","AUTOMATIC PAYMENT - THANK","207.97","credit","Credit Card Payment","CHASE AMAZON PRIME","",""
"12/17/2017","Amazon","AMAZON MKTPLACE PMTS","28.06","debit","Shopping","CHASE AMAZON PRIME","",""
"12/17/2017","Taxi Svc Long","TAXI SVC LONG ISLAND C SOUTH RICHMON NY","14.30","debit","Rental Car & Taxi","Citi Double Cash Card","",""
"12/17/2017","Autopay Rautopay Auto","AUTOPAY 999990000018805RAUTOPAY AUTO-PMT","395.66","credit","Credit Card Payment","Citi Double Cash Card","",""
"12/15/2017","Duane Reade","DUANE READE #14102 NEW YORK NY","79.74","debit","Pharmacy","Citi Double Cash Card","",""
"12/15/2017","GrubHub Seamless","SEAMLSSMARIACHISFORME 8002561020 NY","18.16","debit","Food & Dining","Citi Double Cash Card","",""
"12/14/2017","ATM Withdrawal","ATM WITHDRAWAL005294  12/1442 BROADW","40.00","debit","Cash & ATM","TOTAL CHECKING","",""
"12/14/2017","Cafe","CAFE 11 NEW YORK NY","9.76","debit","Restaurants","Citi Double Cash Card","",""
"12/13/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"12/13/2017","Quickpay With Zelle","QuickPay with Zelle payment fromYURI RUDASHEVSKI 6742751440","150.00","credit","Credit Card Payment","TOTAL CHECKING","",""
"12/13/2017","Consolidated Edison","CON ED OF NY     INTELL CKPPD ID: 2462467002","82.33","debit","Utilities","TOTAL CHECKING","",""
"12/13/2017","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA","2.17","debit","Music","Citi Double Cash Card","",""
"12/13/2017","Subway","SUBWAY 03301082 NEW YORK NY","4.63","debit","Fast Food","Citi Double Cash Card","",""
"12/12/2017","Amazon Prime Now","Amazon Prime Now","37.69","debit","Groceries","CHASE AMAZON PRIME","",""
"12/11/2017","Nitehawk Cinema Theatr","NITEHAWK CINEMA THEATR BROOKLYN NY","26.70","debit","Movies & DVDs","Citi Double Cash Card","",""
"12/11/2017","Chipotle","CHIPOTLE 0476 NEW YORK NY","9.42","debit","Fast Food","Citi Double Cash Card","",""
"12/10/2017","Syndicated Ny","SYNDICATED - NY BROOKLYN NY","21.98","debit","Food & Dining","Citi Double Cash Card","",""
"12/10/2017","Amazon Prime Now","Amazon Prime Now Tips","5.00","debit","Groceries","CHASE AMAZON PRIME","",""
"12/09/2017","Www Syndicatedbk.com Ny","WWW.SYNDICATEDBK.COM 386-3399 NY","16.50","debit","Clothing","Citi Double Cash Card","",""
"12/09/2017","Dunkin Donuts","DUNKIN #331072 Q35 BROOKLYN NY","6.84","debit","Coffee Shops","Citi Double Cash Card","",""
"12/07/2017","MTA","MTA MVM*J009-MYRTLEQPS NEW YORK NY","121.00","debit","Public Transportation","Citi Double Cash Card","",""
"12/07/2017","Amazon Prime Now","Amazon Prime Now","52.39","debit","Groceries","CHASE AMAZON PRIME","",""
"12/07/2017","Ishares Iboxx High Yieldbond Etf","ISHARES IBOXX HIGH YIELDBOND ETF","4.84","credit","Dividend & Cap Gains","Individual","",""
"12/06/2017","Optimum Ny","OPTIMUM 7836 02038702583 NY","55.38","debit","Internet","Citi Double Cash Card","",""
